model,attack,epsilon,n,flip_rate_mean,flip_rate_std,adv_accuracy_mean,adv_accuracy_std
quantum,random,0.025,8,0.0035,0.0065,0.9062,0.0504
quantum,random,0.05,8,0.0103,0.0145,0.9047,0.0458
quantum,random,0.1,8,0.0069,0.0074,0.9109,0.0493
quantum,random,0.2,8,0.0349,0.0206,0.8938,0.0438
quantum,random,0.3,8,0.0663,0.0401,0.8688,0.0378
quantum,random,0.4,8,0.1030,0.0579,0.8266,0.0350
quantum,fgsm,0.025,8,0.0035,0.0065,0.9031,0.0516
quantum,fgsm,0.05,8,0.0155,0.0204,0.8922,0.0530
quantum,fgsm,0.1,8,0.0291,0.0183,0.8797,0.0482
quantum,fgsm,0.2,8,0.0838,0.0429,0.8297,0.0509
quantum,fgsm,0.3,8,0.1681,0.0800,0.7516,0.0569
quantum,fgsm,0.4,8,0.2580,0.1265,0.6687,0.0987
quantum,pgd,0.025,8,0.0035,0.0065,0.9031,0.0516
quantum,pgd,0.05,8,0.0155,0.0204,0.8922,0.0530
quantum,pgd,0.1,8,0.0291,0.0183,0.8797,0.0482
quantum,pgd,0.2,8,0.0838,0.0429,0.8297,0.0509
quantum,pgd,0.3,8,0.1713,0.0851,0.7484,0.0607
quantum,pgd,0.4,8,0.2613,0.1342,0.6656,0.1062
quantum_noisy,random,0.025,8,0.0052,0.0071,0.9078,0.0500
quantum_noisy,random,0.05,8,0.0085,0.0103,0.9094,0.0427
quantum_noisy,random,0.1,8,0.0068,0.0073,0.9109,0.0484
quantum_noisy,random,0.2,8,0.0332,0.0206,0.8953,0.0438
quantum_noisy,random,0.3,8,0.0661,0.0421,0.8719,0.0416
quantum_noisy,random,0.4,8,0.1062,0.0572,0.8250,0.0341
quantum_noisy,fgsm,0.025,8,0.0069,0.0073,0.9016,0.0506
quantum_noisy,fgsm,0.05,8,0.0154,0.0190,0.8938,0.0522
quantum_noisy,fgsm,0.1,8,0.0310,0.0159,0.8797,0.0517
quantum_noisy,fgsm,0.2,8,0.0841,0.0363,0.8313,0.0535
quantum_noisy,fgsm,0.3,8,0.1679,0.0795,0.7531,0.0585
quantum_noisy,fgsm,0.4,8,0.2625,0.1290,0.6656,0.0997
quantum_noisy,pgd,0.025,8,0.0069,0.0073,0.9016,0.0506
quantum_noisy,pgd,0.05,8,0.0154,0.0190,0.8938,0.0522
quantum_noisy,pgd,0.1,8,0.0310,0.0159,0.8797,0.0517
quantum_noisy,pgd,0.2,8,0.0841,0.0363,0.8313,0.0535
quantum_noisy,pgd,0.3,8,0.1696,0.0837,0.7516,0.0625
quantum_noisy,pgd,0.4,8,0.2691,0.1379,0.6594,0.1077
classical,random,0.025,8,0.0000,0.0000,0.9406,0.0319
classical,random,0.05,8,0.0102,0.0123,0.9328,0.0372
classical,random,0.1,8,0.0185,0.0101,0.9312,0.0372
classical,random,0.2,8,0.0317,0.0123,0.9250,0.0259
classical,random,0.3,8,0.0633,0.0180,0.8938,0.0299
classical,random,0.4,8,0.1199,0.0275,0.8422,0.0231
classical,fgsm,0.025,8,0.0034,0.0063,0.9344,0.0339
classical,fgsm,0.05,8,0.0186,0.0128,0.9203,0.0412
classical,fgsm,0.1,8,0.0387,0.0192,0.9016,0.0445
classical,fgsm,0.2,8,0.1083,0.0281,0.8359,0.0392
classical,fgsm,0.3,8,0.2096,0.0370,0.7406,0.0346
classical,fgsm,0.4,8,0.3286,0.0704,0.6281,0.0570
classical,pgd,0.025,8,0.0034,0.0063,0.9344,0.0339
classical,pgd,0.05,8,0.0186,0.0128,0.9203,0.0412
classical,pgd,0.1,8,0.0387,0.0192,0.9016,0.0445
classical,pgd,0.2,8,0.1083,0.0281,0.8359,0.0392
classical,pgd,0.3,8,0.2096,0.0370,0.7406,0.0346
classical,pgd,0.4,8,0.3320,0.0705,0.6250,0.0575
