layers,label,mechanism,strength,test_accuracy,accuracy_drop,mean_abs_proba_shift
2,"ideal",none,0,0.8125,0.0000,0.0000
2,"depolarizing p=0.0005",depolarizing,0.0005,0.8125,0.0000,0.0040
2,"depolarizing p=0.001",depolarizing,0.001,0.8125,0.0000,0.0080
2,"depolarizing p=0.002",depolarizing,0.002,0.8125,0.0000,0.0161
2,"depolarizing p=0.005",depolarizing,0.005,0.8125,0.0000,0.0407
2,"depolarizing p=0.01",depolarizing,0.01,0.8125,0.0000,0.0787
2,"depolarizing p=0.02",depolarizing,0.02,0.8125,0.0000,0.1432
2,"amplitude damping g=0.001",amplitude_damping,0.001,0.8125,0.0000,0.0016
2,"amplitude damping g=0.005",amplitude_damping,0.005,0.8125,0.0000,0.0074
2,"amplitude damping g=0.01",amplitude_damping,0.01,0.8125,0.0000,0.0150
2,"amplitude damping g=0.02",amplitude_damping,0.02,0.8125,0.0000,0.0298
2,"amplitude damping g=0.05",amplitude_damping,0.05,0.7875,0.0250,0.0715
2,"thermal T1=50us",thermal_relaxation,1,0.8125,0.0000,0.0041
2,"thermal T1=25us",thermal_relaxation,2,0.8125,0.0000,0.0080
2,"thermal T1=10us",thermal_relaxation,5,0.8125,0.0000,0.0201
2,"thermal T1=5us",thermal_relaxation,10,0.8125,0.0000,0.0397
2,"thermal T1=2us",thermal_relaxation,25,0.7625,0.0500,0.0913
2,"readout p=0.005",readout,0.005,0.8125,0.0000,0.0033
2,"readout p=0.01",readout,0.01,0.8125,0.0000,0.0065
2,"readout p=0.02",readout,0.02,0.8125,0.0000,0.0132
2,"readout p=0.05",readout,0.05,0.8125,0.0000,0.0330
2,"readout p=0.1",readout,0.1,0.8125,0.0000,0.0671
2,"device-like composite",composite,1,0.8125,0.0000,0.0267
3,"ideal",none,0,0.9500,0.0000,0.0000
3,"depolarizing p=0.0005",depolarizing,0.0005,0.9500,0.0000,0.0062
3,"depolarizing p=0.001",depolarizing,0.001,0.9500,0.0000,0.0124
3,"depolarizing p=0.002",depolarizing,0.002,0.9500,0.0000,0.0243
3,"depolarizing p=0.005",depolarizing,0.005,0.9500,0.0000,0.0580
3,"depolarizing p=0.01",depolarizing,0.01,0.9500,0.0000,0.1082
3,"depolarizing p=0.02",depolarizing,0.02,0.9500,0.0000,0.1859
3,"amplitude damping g=0.001",amplitude_damping,0.001,0.9500,0.0000,0.0025
3,"amplitude damping g=0.005",amplitude_damping,0.005,0.9500,0.0000,0.0116
3,"amplitude damping g=0.01",amplitude_damping,0.01,0.9500,0.0000,0.0230
3,"amplitude damping g=0.02",amplitude_damping,0.02,0.9500,0.0000,0.0445
3,"amplitude damping g=0.05",amplitude_damping,0.05,0.9125,0.0375,0.1002
3,"thermal T1=50us",thermal_relaxation,1,0.9500,0.0000,0.0068
3,"thermal T1=25us",thermal_relaxation,2,0.9500,0.0000,0.0132
3,"thermal T1=10us",thermal_relaxation,5,0.9500,0.0000,0.0321
3,"thermal T1=5us",thermal_relaxation,10,0.9500,0.0000,0.0604
3,"thermal T1=2us",thermal_relaxation,25,0.9000,0.0500,0.1303
3,"readout p=0.005",readout,0.005,0.9500,0.0000,0.0034
3,"readout p=0.01",readout,0.01,0.9500,0.0000,0.0066
3,"readout p=0.02",readout,0.02,0.9500,0.0000,0.0134
3,"readout p=0.05",readout,0.05,0.9500,0.0000,0.0337
3,"readout p=0.1",readout,0.1,0.9500,0.0000,0.0677
3,"device-like composite",composite,1,0.9500,0.0000,0.0342
4,"ideal",none,0,0.8875,0.0000,0.0000
4,"depolarizing p=0.0005",depolarizing,0.0005,0.8875,0.0000,0.0088
4,"depolarizing p=0.001",depolarizing,0.001,0.8875,0.0000,0.0175
4,"depolarizing p=0.002",depolarizing,0.002,0.8875,0.0000,0.0343
4,"depolarizing p=0.005",depolarizing,0.005,0.8875,0.0000,0.0809
4,"depolarizing p=0.01",depolarizing,0.01,0.8875,0.0000,0.1464
4,"depolarizing p=0.02",depolarizing,0.02,0.9000,-0.0125,0.2397
4,"amplitude damping g=0.001",amplitude_damping,0.001,0.8875,0.0000,0.0031
4,"amplitude damping g=0.005",amplitude_damping,0.005,0.8875,0.0000,0.0144
4,"amplitude damping g=0.01",amplitude_damping,0.01,0.8875,0.0000,0.0278
4,"amplitude damping g=0.02",amplitude_damping,0.02,0.8875,0.0000,0.0534
4,"amplitude damping g=0.05",amplitude_damping,0.05,0.8750,0.0125,0.1163
4,"thermal T1=50us",thermal_relaxation,1,0.8875,0.0000,0.0089
4,"thermal T1=25us",thermal_relaxation,2,0.8875,0.0000,0.0172
4,"thermal T1=10us",thermal_relaxation,5,0.8875,0.0000,0.0408
4,"thermal T1=5us",thermal_relaxation,10,0.8875,0.0000,0.0758
4,"thermal T1=2us",thermal_relaxation,25,0.8500,0.0375,0.1540
4,"readout p=0.005",readout,0.005,0.8875,0.0000,0.0036
4,"readout p=0.01",readout,0.01,0.8875,0.0000,0.0073
4,"readout p=0.02",readout,0.02,0.8875,0.0000,0.0145
4,"readout p=0.05",readout,0.05,0.8875,0.0000,0.0363
4,"readout p=0.1",readout,0.1,0.8875,0.0000,0.0732
4,"device-like composite",composite,1,0.8875,0.0000,0.0416
5,"ideal",none,0,0.8750,0.0000,0.0000
5,"depolarizing p=0.0005",depolarizing,0.0005,0.8750,0.0000,0.0105
5,"depolarizing p=0.001",depolarizing,0.001,0.8750,0.0000,0.0208
5,"depolarizing p=0.002",depolarizing,0.002,0.8750,0.0000,0.0402
5,"depolarizing p=0.005",depolarizing,0.005,0.8750,0.0000,0.0922
5,"depolarizing p=0.01",depolarizing,0.01,0.8750,0.0000,0.1617
5,"depolarizing p=0.02",depolarizing,0.02,0.9000,-0.0250,0.2495
5,"amplitude damping g=0.001",amplitude_damping,0.001,0.8750,0.0000,0.0042
5,"amplitude damping g=0.005",amplitude_damping,0.005,0.8750,0.0000,0.0198
5,"amplitude damping g=0.01",amplitude_damping,0.01,0.8750,0.0000,0.0387
5,"amplitude damping g=0.02",amplitude_damping,0.02,0.8625,0.0125,0.0726
5,"amplitude damping g=0.05",amplitude_damping,0.05,0.8250,0.0500,0.1546
5,"thermal T1=50us",thermal_relaxation,1,0.8750,0.0000,0.0118
5,"thermal T1=25us",thermal_relaxation,2,0.8750,0.0000,0.0234
5,"thermal T1=10us",thermal_relaxation,5,0.8625,0.0125,0.0555
5,"thermal T1=5us",thermal_relaxation,10,0.8375,0.0375,0.1008
5,"thermal T1=2us",thermal_relaxation,25,0.8000,0.0750,0.1961
